title,genres,type,developer,publisher,user_rating,metacritic_score
Mighty Switch Force! Hyper Drive Edition,"Action, Indie",Singleplayer,WayForward Technologies,WayForward,3.44,85
Chaos Reborn,"RPG, Strategy, Indie","Singleplayer, Multiplayer, Cross-Platform Multiplayer, Asynchronous Multiplayer",Snapshot Games,Snapshot Games,2.72,85
Monument Valley 2,"Adventure, Casual, Puzzle",,ustwo games,ustwo games,4.38,85
Thumper,"Action, Indie",Singleplayer,Drool,Drool,4.09,85
SUPERHOT VR,"Action, Shooter, Simulation, Indie",Singleplayer,"SUPERHOT Team, SUPERHOT",SUPERHOT Team,4.37,85
Amid Evil,Action,Singleplayer,Indefatigable,New Blood Interactive,4.01,85
Sayonara Wild Hearts,"Action, Casual, Indie",Singleplayer,Simogo,Annapurna Interactive,4.4,85
Ratchet & Clank,"Action, Shooter, Adventure",,Insomniac Games,Sony Interactive Entertainment,4.05,85
Assassin's Creed Odyssey,"Action, RPG",Singleplayer,"Ubisoft, Ubisoft Montreal, Ubisoft Montpellier, Ubisoft Shanghai, Ubisoft Quebec, Ubisoft Bucharest, Ubisoft Singapore, Ubisoft Kiev",Ubisoft Entertainment,3.98,85
Planescape: Torment: Enhanced Edition,"Adventure, RPG, Strategy",Singleplayer,"Black Isle Studios, Beamdog, Overhaul Games","Beamdog, Overhaul Games",4.36,85
MUL.MASH.TAB.BA.GAL.GAL,"Strategy, Arcade, Casual",,Riverman Media,Riverman Media,0.0,85
428: Shibuya Scramble,Adventure,Singleplayer,"Abstraction Games, Spike Chunsoft","SEGA, Spike Chunsoft Co",4.31,85
Mario + Rabbids Kingdom Battle Gold Edition,"Adventure, Strategy",,Ubisoft Paris,Ubisoft Entertainment,0.0,85
Robo Recall,"Action, Shooter",,Epic Games,,3.91,85
Cities: Skylines,"Strategy, Simulation",Singleplayer,Colossal Order,Paradox Interactive,4.12,85
StarCraft: Remastered,Strategy,"Singleplayer, Multiplayer",,Blizzard Entertainment,4.37,85
DOOM (2016),"Action, Shooter","Singleplayer, Multiplayer","Bethesda Softworks, id Software, Panic Button, Tango Gameworks, Escalation Studios, Certain Affinity, Digital Domain, BattleCry Studios",Bethesda Softworks,4.38,85
BlazBlue: Central Fiction,"Action, Fighting","Singleplayer, Multiplayer, Online multiplayer, Local Multiplayer","Arc System Works, Aksys Games",H2 Interactive Co,3.98,85
Mario + Rabbids Kingdom Battle,"Adventure, Strategy",,"Ubisoft Paris, Ubisoft Milan",Ubisoft Entertainment,4.11,85
Mario & Luigi: Bowser's Inside Story + Bowser Jr's Journey,RPG,,"Alpha Dream, ARZEST",Nintendo,4.62,84
Ticket to Earth,"RPG, Strategy, Indie, Puzzle",Singleplayer,Robot Circus,Robot Circus,0.0,84
ICEY,"Action, Adventure, RPG, Indie","Singleplayer, Multiplayer","X.D. Network, Shanghai FantaBlade Network Technology Co, FantaBlade Network",X.D. Network,3.46,84
DEFCON VR,"Strategy, Indie","Singleplayer, Multiplayer, Online multiplayer",Introversion Software,Introversion Software,0.0,84
Yakuza Remastered Collection,"Action, Adventure",,"SEGA, Ryu ga Gotoku Studio",SEGA,3.96,84
SpeedRunners,"Action, Sports, Racing, Casual, Indie","Singleplayer, Multiplayer, Online multiplayer, Local Multiplayer, Cross-Platform Multiplayer, 4 Player Local","tinyBuild, DoubleDutch Games",tinyBuild,3.75,84
Pyre,"Adventure, RPG, Sports, Arcade, Indie","Singleplayer, Multiplayer, Local Multiplayer",Supergiant Games,Supergiant Games,4.17,84
Salt and Sanctuary,"Action, RPG, Indie, Platformer",Singleplayer,Ska Studios,Ska Studios,3.92,84
Yakuza 6: The Song of Life,"Action, Shooter, Adventure",Singleplayer,"SEGA, Ryu ga Gotoku Studio",SEGA,4.41,84
Valkyria Chronicles Remaster,Strategy,,SEGA,SEGA,0.0,84
Splatoon 2,"Action, Shooter",Multiplayer,Nintendo,Nintendo,4.23,84
Eliza,"Action, Indie",Singleplayer,Zachtronics,"Zachtronics, Alliance",3.98,84
F1 2018,"Action, Sports, Racing, Indie","Singleplayer, Multiplayer",Codemasters,Codemasters,3.32,84
Grim Fandango Remastered,"Adventure, Puzzle",Singleplayer,"Double Fine Productions, LucasArts Entertainment",Double Fine Productions,4.0,84
Bulb Boy,"Adventure, Indie, Puzzle",Singleplayer,"Daedalic Entertainment, Bulbware","Daedalic Entertainment, Bulbware",3.34,84
Horizon Zero Dawn Complete Edition,"Action, Adventure, RPG",Singleplayer,Guerrilla Games,"Sony Interactive Entertainment, PlayStation Mobile",4.28,84
FAR: Lone Sails,"Action, Adventure, Simulation, Indie",Singleplayer,"Okomotive, Mixtvision Mediengesellschaft mbH, Mr. Whale's Game Service, MIXTVISION","Mixtvision, Mixtvision Mediengesellschaft mbH",4.2,84
The Walking Dead: The Telltale Definitive Series,Adventure,Singleplayer,"Telltale Games, Skybound Games, Skybound",Skybound Games,4.34,84
Moss,"Action, Adventure, Indie, Platformer",Singleplayer,Polyarc,Polyarc,4.04,84
Darkest Dungeon,"RPG, Strategy, Indie",Singleplayer,Red Hook Studios,Red Hook Studios,4.17,84
Aliens Go Home Run,"Action, Indie",Singleplayer,ANIM•ACE,ANIM•ACE,0.0,84
Destiny 2: Forsaken,"Action, Shooter, Adventure, Massively Multiplayer","Multiplayer, Online multiplayer",Activision,Activision Blizzard,4.14,84
Hatsune Miku: Project DIVA Future Tone,Action,Multiplayer,SEGA,,3.58,84
Football Manager 2020,"Simulation, Sports","Singleplayer, Multiplayer",Sports Interactive,SEGA,4.02,84
DmC: Devil May Cry: Definitive Edition,"Action, Adventure",,Ninja Theory,Capcom,3.91,84
Reventure,"Adventure, Indie, Puzzle",Singleplayer,Pixelatto,"Pixelatto, Pixelatto Games",3.88,84
Pro Evolution Soccer 2018,Sports,"Singleplayer, Multiplayer, Online multiplayer, Local Multiplayer",PES Productions,Konami,3.48,84
Pinball FX3,"Simulation, Arcade","Singleplayer, Multiplayer, Local Multiplayer",Zen Studios,Zen Studios,3.44,84
Ape Out,"Action, Indie",Singleplayer,"Devolver Digital, Gabe Cuzzillo, Gabe Cuzillo",Devolver Digital,3.99,84
Forza Motorsport 7,Racing,Multiplayer,Turn 10 Studios,Microsoft Studios,4.05,84
Enter the Gungeon,"Action, Shooter, Indie","Singleplayer, Multiplayer",Dodge Roll,Devolver Digital,4.07,84
Xenoblade Chronicles X,"Action, Adventure, RPG",,"8-4, Monolith Soft, Kusanagi",Nintendo,4.32,84
Control,"Action, Shooter, Adventure",Singleplayer,"505 Games, Remedy Entertainment",505 Games,4.15,84
Outer Wilds,"Adventure, Indie, Puzzle",,Mobius Digital,Annapurna Interactive,4.36,84
A Short Hike,"Adventure, Indie",Singleplayer,adamgryu,adamgryu,4.37,84
Rakuen,"Adventure, RPG, Indie",Singleplayer,Laura Shigihara,Laura Shigihara,3.2,84
Ni no Kuni: Wrath of the White Witch Remastered,RPG,Singleplayer,Level 5,"Bandai Namco Entertainment, Level-5",4.07,84
Magic: The Gathering Arena,"Strategy, Board Games, Card","Multiplayer, Cross-Platform Multiplayer",Wizards of the Coast,Wizards of the Coast,3.97,84
The Messenger,"Action, Adventure, RPG, Indie, Platformer",,Sabotage,Devolver Digital,4.29,84
Nioh: Complete Edition,"Action, RPG","Singleplayer, Online multiplayer",Koei Tecmo,Koei Tecmo Games,3.99,84
Dark Souls: Remastered,"Action, RPG","Singleplayer, Multiplayer","FromSoftware, QLOC","Bandai Namco Entertainment, FromSoftware",4.47,84
Supraland,"Action, Adventure, Indie, Puzzle",Singleplayer,Supra Games,Supra Games,3.97,84
Fallout 4,"Action, RPG",Singleplayer,Bethesda Game Studios,Bethesda Softworks,3.81,84
Card Crawl,"RPG, Card, Indie",Singleplayer,Arnold Rauers,Arnold Rauers,4.1,84
Hyper Light Drifter,"Action, Adventure, RPG, Indie","Singleplayer, Multiplayer, Local Multiplayer","Heart Machine, Abylight","Abylight, Heart Machine",4.14,84
Monolith,"Action, Adventure, Indie",Singleplayer,Team D-13,Team D-13,4.24,84
Manifold Garden,"Adventure, Indie",Singleplayer,William Chyr Studio,William Chyr Studio,4.23,84
Thimbleweed Park,"Adventure, Indie, Puzzle",Singleplayer,Terrible Toybox,Terrible Toybox,4.08,84
SOMA,"Action, Adventure, Indie",Singleplayer,Frictional Games,Frictional Games,4.16,84
OneShot,"Adventure, Casual, Indie",Singleplayer,Little Cat Feet,Degica,4.23,84
Madden NFL 16,Sports,Multiplayer,"Electronic Arts, Electronic Arts Tiburon",Electronic Arts,2.92,84
Lara Croft GO,"Adventure, Puzzle",Singleplayer,"Square Enix, Square Enix Montréal",Square Enix,3.7,84
Griftlands,"Adventure, RPG, Strategy, Card",Singleplayer,Klei Entertainment,Klei Entertainment,3.9,84
Halo 5: Guardians,"Action, Shooter, Adventure","Singleplayer, Multiplayer",343 Industries,Microsoft Studios,3.74,84
Call of Duty: Black Ops 4,"Action, Shooter",Multiplayer,"Raven Software, Treyarch, Beenox, Sledgehammer Games, High Moon Studios","Sony Interactive Entertainment, Activison, 1C-SoftClub",3.29,84
Two Point Hospital,"RPG, Simulation",Singleplayer,"Two Point Studios, GAMESDROP","SEGA, GAMESDROP",3.74,84
Death Stranding,"Action, Adventure",Singleplayer,Kojima Productions,"Sony Interactive Entertainment, 505 Games",4.32,84
Danganronpa 1•2 Reload,Adventure,Multiplayer,Spike Chunsoft,NIS America,4.14,83
Beyond Sol,"Action, Strategy, Indie","Singleplayer, Multiplayer",Praxia Entertainment,Praxia Entertainment,0.0,83
DarkMaus,"Action, RPG, Indie",Singleplayer,Daniel Wright,Daniel Wright,3.1,83
Tetris 99,"Massively Multiplayer, Puzzle",,Arika,Nintendo,4.27,83
The Banner Saga 3,"RPG, Strategy, Indie",Singleplayer,"Versus Evil, Stoic",Versus Evil,4.23,83
Pro Evolution Soccer 2016,Sports,,PES Productions,Konami,3.47,83
Planet Coaster,"Strategy, Simulation","Singleplayer, Multiplayer",Frontier Developments,Frontier Developments,3.78,83
Yakuza Kiwami,"Action, Adventure, RPG, Fighting",Single player only,Ryu ga Gotoku Studio,"SEGA, Deep Silver",4.1,83
Thronebreaker: The Witcher Tales,"Adventure, RPG, Strategy",Singleplayer,"CD PROJEKT RED, CD PROJEKT","CD PROJEKT RED, CD PROJEKT",4.06,83
HELLDIVERS,Action,"Singleplayer, Multiplayer, 4 Player Local",Arrowhead Game Studios,PlayStation Mobile,3.61,83
The Sexy Brutale,"Adventure, Indie",Singleplayer,"Tequila Works, Cavalier Game Studios",Tequila Works,3.74,83
Deus Ex: Mankind Divided,"Action, RPG",Singleplayer,Eidos Montreal,"Square Enix, Feral Interactive",3.96,83
Madden NFL 18,Sports,,Electronic Arts,Electronic Arts,3.28,83
Hellblade: Senua's Sacrifice,"Action, Adventure, Indie",Singleplayer,Ninja Theory,Ninja Theory,4.22,83
Hakuoki: Kyoto Winds,Adventure,Singleplayer,"Idea Factory, Design Factory",Idea Factory,4.06,83
Devil Daggers,"Action, Indie",Singleplayer,Sorath,Sorath,3.93,83
Ring Fit Adventure,"Adventure, Simulation, Sports",,Nintendo,Nintendo,4.31,83
SoulCalibur VI,"Action, Fighting","Singleplayer, Multiplayer, Online multiplayer, Local Multiplayer","BANDAI NAMCO Entertainment America, Bandai Namco Entertainment, NAMCO","Bandai Namco Entertainment, BANDAI NAMCO Entertainment US",3.7,83
Duskers,"Strategy, Indie",Singleplayer,Misfits Attic,Misfits Attic,3.54,83
Don't Starve Together,"Action, Simulation, Indie","Singleplayer, Multiplayer, Cross-Platform Multiplayer",Klei Entertainment,Klei Entertainment,3.78,83
Broforce,"Action, Indie, Platformer","Singleplayer, Multiplayer, Local Multiplayer","Devolver Digital, Free Lives",Devolver Digital,4.02,83
Space Marshals,"Action, Adventure",,Pixelbite,Pixelbite,4.25,83
Bleed 2,"Action, Indie",Singleplayer,"Digerati Distribution, Ian Campbell, BOOTDISK REVOLUTION, BootdiskRevolution","Digerati, Ian Campbell",3.23,83
Grim Dawn,"Action, RPG, Indie","Singleplayer, Multiplayer",Crate Entertainment,Crate Entertainment,3.96,83
Hearts of Iron IV,"Strategy, Simulation","Singleplayer, Multiplayer, Cross-Platform Multiplayer",Paradox Development Studio,Paradox Interactive,4.06,83
Project CARS,"Simulation, Sports, Racing","Singleplayer, Multiplayer",Slightly Mad Studios,"Bandai Namco Entertainment, Slightly Mad Studios",3.57,83
Gears 5,"Action, Shooter","Singleplayer, Multiplayer, Online multiplayer, Local Multiplayer, Cross-Platform Multiplayer",The Coalition,"Microsoft Studios, Xbox Game Studios",3.91,83
Quern - Undying Thoughts,"Adventure, Indie, Puzzle",Singleplayer,Zadbox Entertainment,Zadbox Entertainment,4.0,83
Horizon Zero Dawn: The Frozen Wilds,"Action, Adventure, RPG",Singleplayer,Guerrilla Games,Sony Interactive Entertainment,4.4,83
Collection of Mana,"Action, Adventure, RPG",Multiplayer,Square Enix,Square Enix,0.0,83
Don Bradman Cricket 17,"Simulation, Sports","Singleplayer, Multiplayer, Online multiplayer","Big Ant Studios, Home Entertainment Suppliers","Home Entertainment Suppliers, Big Ant Studios",0.0,83
Steel Division: Normandy 44,"Action, Strategy, Simulation","Singleplayer, Multiplayer, Online multiplayer",Eugen Systems,Paradox Interactive,3.88,83
Rayman 3,"Action, Platformer",,Ubisoft,Ubisoft Entertainment,0.0,83
Divide By Sheep,"Adventure, Casual, Educational, Indie, Puzzle",Singleplayer,"tinyBuild, Victor Solodilov, Denis Novikov",tinyBuild,2.34,83
The End Is Nigh,"Action, Adventure, Indie",Singleplayer,"Nicalis, Edmund McMillen, Tyler Glaiel","Nicalis, Edmund McMillen, Tyler Glaiel",3.66,83
Four Last Things,"Adventure, Indie, Puzzle",Singleplayer,Joe Richardson,"Akupara Games, Joe Richardson",3.88,83
Wargroove,"Strategy, Indie","Singleplayer, Multiplayer, Online multiplayer, Local Multiplayer, Cross-Platform Multiplayer",Chucklefish,Chucklefish,3.6,83
CLANNAD,"Adventure, Casual",Singleplayer,"VisualArts/Key, PROTOTYPE CO","Sekai Project, PROTOTYPE",4.26,83
DiRT Rally 2.0,"Simulation, Sports, Racing","Singleplayer, Multiplayer, Online multiplayer",Codemasters,Codemasters,3.57,83
Prison Architect,"Strategy, Simulation, Indie",Singleplayer,"Double Eleven, Introversion Software",Introversion Software,3.73,83
Gris,"Adventure, Indie, Puzzle, Platformer",Singleplayer,Nomada Studio,Devolver Digital,4.2,83
Hitman 2,"Action, Shooter","Singleplayer, Multiplayer",IO Interactive,Warner Bros. Interactive,4.05,83
Xenoblade Chronicles 2,RPG,,Monolith Soft,Nintendo,4.27,83
Life is Strange,Adventure,Singleplayer,DONTNOD Entertainment,"Square Enix, Feral Interactive",4.12,83
Katana ZERO,"Action, Indie, Platformer",Singleplayer,Askiisoft,"Devolver Digital, Adult Swim Games",4.4,83
Yo-Kai Watch Wibble Wobble,"RPG, Puzzle",,Level 5,Level-5,0.0,83
Parkitect,"Simulation, Indie",Singleplayer,Texel Raptor,Texel Raptor,4.2,83
Detention,"Adventure, Indie, Puzzle",Singleplayer,"RedCandleGames, Coconut Island dba Shanghai Kena Information Technology Co","Coconut Island Games, RedCandleGames, Red Candle Games",4.1,83
Valkyria Chronicles 4,"Action, RPG, Strategy",Singleplayer,SEGA,SEGA,3.94,83
Subnautica,"Adventure, Indie","Singleplayer, Multiplayer",Unknown Worlds Entertainment,Unknown Worlds Entertainment,4.25,83
SMITE,Action,Multiplayer,Hi-Rez Studios,Hi-Rez Studios,3.05,83
ABZU,"Adventure, Simulation, Indie",Singleplayer,Giant Squid,505 Games,3.92,83
Dark Souls III: The Ringed City,"Action, RPG",,FromSoftware,Bandai Namco Entertainment,4.61,83
Hitman,"Action, Shooter, Simulation",Singleplayer,"Feral Interactive, Square Enix, IO Interactive","Square Enix, Feral Interactive, Warner Bros. Interactive",3.93,83
The Legend of Heroes: Trails of Cold Steel III,RPG,Singleplayer,"Engine Software, Nihon Falcom, PH3, Falcom","NIS America, NIHON FALCOM",4.16,83
Tom Clancy’s The Division 2,"Action, Shooter, Adventure, RPG","Singleplayer, Multiplayer","Ubisoft, Massive Entertainment",Ubisoft Entertainment,3.74,83
BioShock: The Collection,"Action, Shooter",,"2K, Irrational Games, Virtuos","2K Games, Take Two Interactive",4.49,83
Borderlands 3,"Action, Shooter, Adventure, RPG","Singleplayer, Multiplayer, Local Multiplayer, Cross-Platform Multiplayer","2K, Gearbox Software","2K Games, Gearbox Publishing",3.87,83
Dishonored: Death of the Outsider,Action,Singleplayer,"Bethesda Softworks, Arkane Studios",Bethesda Softworks,4.05,83
Pillars of Eternity II Deadfire - The Forgotten Sanctum,RPG,,Obsidian Entertainment,Versus Evil,0.0,82
HoPiKo,"Action, Arcade, Casual, Indie",Singleplayer,"Merge Games, Laser Dog","Merge Games, Laser Dog Games",2.5,82
WORLD OF WARSHIPS: LEGENDS,Action,Multiplayer,Wargaming.net,,2.89,82
PUBG Mobile,"Action, Shooter, Massively Multiplayer",,PUBG,"Tencent, Vng Game Studio",3.62,82
The Touryst,"Action, Adventure",Singleplayer,Shin'en Multimedia,Shin'en Multimedia,3.53,82
Yooka-Laylee and the Impossible Lair,"Adventure, Indie, Platformer",Singleplayer,"Playtonic Games, playtronic",Team17 Digital,3.49,82
Warhammer: Vermintide 2,"Action, Indie",,Fatshark,Fatshark,3.61,82
Crash Team Racing Nitro-Fueled,"Action, Racing, Family",,"Activision, Beenox","Activision Blizzard, Activison, Activision Value Publishing",4.02,82
The Evil Within 2,"Action, Shooter, Adventure",Singleplayer,"Bethesda Softworks, Tango Gameworks",Bethesda Softworks,4.14,82
CrossCode,"Action, RPG, Puzzle",Singleplayer,Radical Fish Games,"WhisperGames, Deck13, Deck 13",4.27,82
Resident Evil HD Remaster,"Action, Adventure",Singleplayer,Capcom,Capcom,4.32,82
Destiny 2,"Action, Shooter","Singleplayer, Multiplayer, Online multiplayer",Bungie,"Activision Blizzard, Bungie",3.52,82
VIDEOBALL,"Action, Sports, Indie","Singleplayer, Multiplayer, Local Multiplayer","Iron Galaxy Studios, Action Button Entertainment",Iron Galaxy Studios,3.44,82
RunGunJumpGun,"Action, Indie",Singleplayer,"Good Shepherd Entertainment, Gambitious Digital Entertainment, ThirtyThree","Good Shepherd Entertainment, Gambitious Digital Entertainment, Gambitious",2.83,82
Natsuki Chronicles,"Action, Shooter, Arcade",,Qute,Rising Star Games,0.0,82
Technobabylon,"Adventure, RPG, Indie",Singleplayer,"Wadjet Eye Games, Technocrat Games, Technocrat",Wadjet Eye Games,4.02,82
DRAGON QUEST BUILDERS,"Action, Adventure, RPG, Strategy",Singleplayer,"Square Enix, Armor Project, Bird Studio","Square Enix, Nintendo",3.75,82
AI: The Somnium Files,Adventure,Singleplayer,Spike Chunsoft,"Spike Chunsoft, Spike Chunsoft Co",4.26,82
Sine Mora EX,"Action, Shooter","Singleplayer, Local Multiplayer","THQ Nordic, Grasshopper Manufacture, Digital Reality, Gyroscope Games",THQ Nordic,3.54,82
Horace,"Action, Adventure, Indie, Platformer",Singleplayer,"Sean Scaplehorn, Paul Helman",505 Games,3.21,82
Splatoon 2: Octo Expansion,"Action, Shooter",Multiplayer,Nintendo,Nintendo,4.62,82
Ape Escape 2,Platformer,,"Sony Interactive Entertainment, Japan Studio","Ubisoft Entertainment, Sony Interactive Entertainment",3.82,82
Moonlighter,"Action, Adventure, Indie",Singleplayer,"11 Bit Studios, Digital Sun",11 bit studios,3.74,82
The Last Guardian,"Action, Puzzle",,"SIE Japan Studio, Team Ico",Sony Interactive Entertainment,4.07,82
Among Us,"Action, Simulation, Casual","Multiplayer, Online multiplayer, Local Multiplayer, Cross-Platform Multiplayer",Innersloth,Innersloth,3.84,82
ISLANDERS,"Strategy, Casual, Indie",Singleplayer,"Coatsink, Stage Clear Studios, GrizzlyGames","Coatsink, GrizzlyGames",3.77,82
Pillars of Eternity II: Deadfire,RPG,Singleplayer,Obsidian Entertainment,"Versus Evil, Obsidian Entertainment",4.12,82
Mortal Kombat 11,"Action, Adventure, Fighting","Singleplayer, Multiplayer, Online multiplayer","NetherRealm Studios, QLOC, Shiver Games",Warner Bros. Interactive,3.97,82
Don't Starve Mega Pack,"Adventure, RPG","Singleplayer, Multiplayer",Klei Entertainment,,0.0,82
Creepy Castle,"Adventure, RPG, Indie",Singleplayer,Dopterra,Nicalis,0.0,82
The Next Penelope,"Action, Racing, Indie","Singleplayer, Multiplayer, Local Multiplayer, 4 Player Local","Seaven Studio, Aurelien Regard, Aurélien REGARD",Plug In Digital,3.17,82
Battlefield 1: In The Name Of The Tsar,"Action, Shooter","Singleplayer, Multiplayer",Electronic Arts DICE,Electronic Arts,3.91,82
Duelyst,"Strategy, Indie","Singleplayer, Multiplayer, Online multiplayer, Cross-Platform Multiplayer",Counterplay Games,"BANDAI NAMCO Entertainment US, Counterplay Games",3.38,82
WildStar,"RPG, Massively Multiplayer","Multiplayer, Online multiplayer",Carbine Studios,NCsoft,3.19,82
This War of Mine: The Little Ones,Action,,Deep Silver,Deep Silver,3.58,82
Judgment,"Action, Adventure",Singleplayer,Ryu ga Gotoku Studio,SEGA,4.36,82
Momodora: Reverie Under the Moonlight,"Action, Adventure, Indie, Platformer",Singleplayer,"ACTIVE GAMING MEDIA, Bombservice, rdein","AGM PLAYISM, Playism, Active Gaming Media, DANGEN Entertainment",3.86,82
BlazBlue: Chrono Phantasma EXTEND,"Action, Arcade, Fighting","Singleplayer, Multiplayer, Local Multiplayer","Arc System Works, Aksys Games","Aksys Games, H2 Interactive Co",3.75,82
The Elder Scrolls: Legends,"Strategy, Card","Singleplayer, Multiplayer, Online multiplayer, Cross-Platform Multiplayer","Bethesda Softworks, Dire Wolf Digital",Bethesda Softworks,3.2,82
Ninja Pizza Girl,"Action, RPG, Arcade, Educational, Indie",Singleplayer,"Disparity Games Pty, Disparity Games","Disparity Games, Jason Stark",2.76,82
Overcooked! 2,"Action, Casual, Indie","Singleplayer, Multiplayer, Online multiplayer, Local Multiplayer","Team17 Digital, Ghost Town Games",Team17 Digital,4.15,82
Hacknet,"Simulation, Indie","Singleplayer, Multiplayer",Team Fractal Alligator,"Fellow Traveller, Surprise Attack",3.19,82
Ni no Kuni II: Revenant Kingdom,"Adventure, RPG",Singleplayer,"BANDAI NAMCO Entertainment America, Level 5","Bandai Namco Entertainment, BANDAI NAMCO Entertainment US",3.89,82
"Invisible, Inc.","Adventure, Strategy",Singleplayer,Klei Entertainment,Klei Entertainment,3.53,82
SUPERHOT,"Action, Shooter, Indie","Singleplayer, Multiplayer","SUPERHOT Team, SUPERHOT","SUPERHOT Team, SUPERHOT",4.19,82
Gloomhaven,"Adventure, RPG, Strategy",Singleplayer,Flaming Fowl Studios,Asmodee Digital,3.93,82
What the Golf?,"Sports, Casual, Indie",Singleplayer,Triband,"Fig Publishing, Triband, TribandProductions",4.23,82
Middle-earth: Shadow of War,"Action, RPG",Singleplayer,"Warner Bros. Interactive, Monolith Productions","Warner Bros. Interactive, WB Games",3.86,82
Art Academy: Home Studio,"Simulation, Casual, Educational, Puzzle",,Headstrong Games,Nintendo,0.0,82
Flat Heroes,"Action, Indie, Platformer","Singleplayer, Multiplayer, Local Multiplayer","Parallel Circles, FlatHeroes","Deck13, Deck 13, Parallel Circles",3.31,82
Sky: Children of the Light,"Adventure, RPG, Casual, Family, Massively Multiplayer, Indie, Puzzle","Singleplayer, Multiplayer, Cross-Platform Multiplayer",thatgamecompany,thatgamecompany,4.02,82
Telling Lies,"Adventure, Simulation, Indie",Singleplayer,"Annapurna Interactive, Sam Barlow, Furious Bee",Annapurna Interactive,3.56,82
eFootball PES 2020,Sports,"Singleplayer, Multiplayer, Online multiplayer, Local Multiplayer",Konami Digital Entertainment,Konami,3.22,82
Duck Game,"Action, Indie","Singleplayer, Multiplayer, Local Multiplayer, 4 Player Local","Adult Swim, Landon Podbielski",Adult Swim Games,4.2,82
Endless Space 2,Strategy,"Singleplayer, Multiplayer, Online multiplayer, Cross-Platform Multiplayer",Amplitude Studios,SEGA,3.87,82
TEKKEN 7,"Action, Sports, Fighting","Singleplayer, Multiplayer, Online multiplayer, Local Multiplayer","BANDAI NAMCO Entertainment America, Bandai Namco Entertainment","Bandai Namco Entertainment, BANDAI NAMCO Entertainment US",4.02,82
A Plague Tale: Innocence,"Action, Adventure",Singleplayer,"Focus Home Interactive, Asobo Studio",Focus Home Interactive,4.15,82
Madden NFL 17,Sports,Multiplayer,"Electronic Arts, Electronic Arts Tiburon",Electronic Arts,3.01,82
She Remembered Caterpillars,"Indie, Puzzle",Singleplayer,jumpsuit entertainment UG,"WhisperGames, Ysbryd Games",3.23,82
BLACKHOLE,"Action, Adventure, Indie, Puzzle, Platformer",Singleplayer,FiolaSoft Studio,1C Company,2.3,82
Burly Men at Sea,"Adventure, RPG, Casual, Indie",Singleplayer,"Seaven Studio, Brain&Brain, Brain & Brain","Plug In Digital, Brain&Brain",2.82,82
OlliOlli2: Welcome to Olliwood,"Action, Sports, Indie, Platformer","Singleplayer, Multiplayer, Local Multiplayer, 4 Player Local","Roll7, Roll 7",Devolver Digital,3.3,82
The Banner Saga 2,"RPG, Strategy, Indie",Singleplayer,"Versus Evil, Stoic","Versus Evil, Stoic",4.2,82
Kingdom Hearts III,"Action, RPG",Singleplayer,Square Enix,"Square Enix, Disney Interactive",3.86,82
FINAL FANTASY XV,RPG,,Square Enix,Square Enix,3.87,82
Octopath Traveler,"Adventure, RPG",Singleplayer,"Square Enix, Acquire","Square Enix, Nintendo",3.92,82
Lethal League Blaze,"Action, Sports, Indie","Singleplayer, Multiplayer, Online multiplayer, Local Multiplayer","Team Reptile, Reptile Games",Team Reptile,3.99,82
L.A. Noire: The VR Case Files,"Action, Adventure",Singleplayer,Rockstar Games,Rockstar Games,3.42,82
Cytus α,"Action, Casual",,"Rayark International, ESQUADRA,inc.",Flyhigh Works,0.0,81
Football Manager 2018,"Simulation, Sports","Singleplayer, Multiplayer",Sports Interactive,SEGA,4.03,81
Antihero,"Strategy, Indie","Singleplayer, Multiplayer, Online multiplayer, Local Multiplayer, Asynchronous Multiplayer","Versus Evil, Tim Conkling",Versus Evil,3.18,81
Plants vs. Zombies Garden Warfare 2,"Action, Shooter",Multiplayer,"Electronic Arts, PopCap Games",Electronic Arts,3.63,81
STEINS;GATE 0,Adventure,,"5pb., Nitroplus",5pb.,4.29,81
Chess Ultra,"Strategy, Simulation, Sports, Casual, Indie","Singleplayer, Online multiplayer, Local Multiplayer, Cross-Platform Multiplayer",Ripstone,Ripstone,3.5,81
Starbound,"Action, RPG, Casual, Indie","Singleplayer, Multiplayer, Online multiplayer, Cross-Platform Multiplayer",Chucklefish,Chucklefish,3.82,81
Hand of Fate 2,"Action, RPG, Indie",Singleplayer,Defiant Development,Defiant Development,3.73,81
Nelly Cootalot: The Fowl Fleet,"Adventure, Family, Indie",Singleplayer,"Application Systems Heidelberg Software, Application Systems Heidelberg, Alasdair Beckett-King","Application Systems Heidelberg, Application Systems Heidelberg Software, ASHGAMES",0.0,81
Shadowrun: Hong Kong - Extended Edition,"Adventure, RPG, Strategy, Indie",Singleplayer,Harebrained Schemes,Harebrained Holdings,3.83,81
Lonely Mountains: Downhill,"Sports, Racing, Indie",Singleplayer,Megagon Industries,"Thunderful Publishing, Megagon Industries",3.63,81
Overcooked,"Simulation, Arcade, Casual, Indie","Singleplayer, Multiplayer, Local Multiplayer, 4 Player Local","Team17 Digital, Ghost Town Games",Team17 Digital,4.07,81
AVICII Invector,"Action, Casual, Indie","Singleplayer, Multiplayer, Local Multiplayer","Hello There, Hello There Games",Wired Productions,3.84,81
Slime Rancher,"Action, Adventure, Simulation, Indie","Singleplayer, Multiplayer",Monomi Park,Monomi Park,3.87,81
