title,genres,type,developer,publisher,user_rating,metacritic_score
Summon Night 5,Strategy,,Gaijin Works,Bandai,0.0,74
Shin Megami Tensei: Devil Summoner: Soul Hackers,RPG,,Atlus,Atlus,4.39,74
Leo's Fortune,"Action, Adventure, Arcade",,1337 & Senri,"Tilting Point, 1337 & Senri",3.88,74
Peggle 2,"Arcade, Family",Multiplayer,"Electronic Arts, PopCap Games",Electronic Arts,3.7,74
SOCOM: U.S. Navy SEALs Fireteam Bravo 3,"Action, Shooter",,"Slant Six Games, Slant Six",Sony Computer Entertainment,0.0,74
TrackMania: Build to Race,"Racing, Arcade",,Focus Home Interactive,Firebrand Games,0.0,74
Army of Two: The 40th Day,"Action, Shooter, Adventure",,"Electronic Arts, Electronic Arts Montreal, Buzz Monkey",Electronic Arts,3.59,74
Airport Scanner,"Arcade, Casual, Puzzle",,Kedlin Company,Kedlin Company,0.0,74
Don Bradman Cricket 14,"Simulation, Sports, Indie","Singleplayer, Multiplayer",Big Ant Studios,Big Ant Studios,3.71,74
BIT.TRIP FATE,"Action, Arcade, Indie",Singleplayer,"Choice Provisions, Gaijin Games","Aksys Games, Choice Provisions, Gaijin Games",2.92,74
Cubemen,"Action, Strategy, Family, Indie","Singleplayer, Multiplayer, Cross-Platform Multiplayer",3 Sprockets,"3 Sprockets, Seon Rozenblum",2.36,74
Particulars,Indie,Singleplayer,SeeThrough Studios,Surprise Attack,0.0,74
Fortix 2,"Casual, Indie",Singleplayer,Nemesys Games,Nemesys Games,2.81,74
Gabriel Knight: Sins of the Fathers 20th Anniversary Edition,"Adventure, Puzzle",Singleplayer,"Phoenix Online Studios, Pinkerton Road Studio","Pinkerton Road Studio, Phoenix Online Studios",4.14,74
Back to the Future: The Game,"Action, Adventure, Puzzle",Singleplayer,Telltale Games,Telltale Games,3.43,74
de Blob 2,"Action, Adventure, Arcade, Indie, Platformer","Singleplayer, Local Multiplayer","BlitWorks, Halfbrick Studios, Blue Tongue Entertainment, Blue Tongue, Bluetongue Entertainment","THQ Nordic, THQ, Nordic Games",3.36,74
Deponia,"Adventure, RPG, Indie, Puzzle",Singleplayer,Daedalic Entertainment,Daedalic Entertainment,3.85,74
Batman: Arkham Origins,Action,"Singleplayer, Multiplayer","Warner Bros. Interactive, Splash Damage",Warner Bros. Interactive,3.95,74
Our Darker Purpose,"Action, RPG, Indie",Singleplayer,Avidly Wild Games,Avidly Wild Games,3.06,74
Space Pirates and Zombies,"Action, RPG, Strategy, Indie",Singleplayer,MinMax Games,MinMax Games,3.16,74
Plants vs Zombies Garden Warfare,"Action, Shooter",Multiplayer,"Electronic Arts, PopCap Games",Electronic Arts,3.44,74
Mass Effect 3: Leviathan,RPG,,BioWare,Electronic Arts,4.11,74
PlayStation All-Stars Battle Royale,"Arcade, Family, Fighting, Massively Multiplayer",Multiplayer,"Sony Interactive Entertainment, Bluepoint Games, SuperBot Entertainment","Sony Computer Entertainment, SCEA",3.03,74
The Bridge,"Strategy, Casual, Indie, Puzzle",Singleplayer,"The Quantum Astrophysicists Guild, Ty Taylor and Mario Castañeda, Ty Taylor and Mario Castaneda","Midnight City, The Quantum Astrophysicists Guild",3.27,74
HarmoKnight,"Action, Platformer",,Game Freak,Nintendo,0.0,73
Majin and the Forsaken Kingdom,"Action, Adventure, Puzzle",,"BANDAI NAMCO Entertainment America, Game Republic",Bandai Namco Entertainment,3.67,73
Driftmoon,"Adventure, RPG, Indie",Singleplayer,"Instant Kingdom, Ville Mönkkönen, Anne Mönkkönen",Instant Kingdom,3.0,73
Guncraft,"Action, Indie","Singleplayer, Multiplayer",Exato Games Studio,Reverb Triple XP,1.31,73
Disney Epic Mickey,"Action, Adventure, Platformer",,Junction Point,Disney Interactive,3.55,73
Freedom Wars,"Action, RPG",,"DIMPS, SCE Japan Studio, SHIFT",Sony Interactive Entertainment,3.22,73
Space Run,"Strategy, Indie",Singleplayer,"Focus Home Interactive, Passtech Games",Focus Home Interactive,3.05,73
Disney Infinity,"Action, Adventure, Fighting, Platformer",,"Avalanche Software, Heavy Iron Studios, Altron",Disney Interactive,3.14,73
Gas Guzzlers Extreme,"Action, Racing","Singleplayer, Multiplayer, co-op multiplayer",Gamepires,Iceberg Interactive,3.22,73
DuckTales: Remastered,"Adventure, Platformer",Singleplayer,WayForward Technologies,Capcom,3.77,73
Assassin's Creed Freedom Cry,"Action, Adventure","Singleplayer, Multiplayer","Ubisoft, Ubisoft Montreal",Ubisoft Entertainment,3.07,73
Blood Bowl Legendary Edition,"Strategy, Sports","Singleplayer, Multiplayer",Cyanide Studio,Focus Home Interactive,2.56,73
Lara Croft and the Temple of Osiris,"Action, Adventure, Puzzle","Singleplayer, Multiplayer, 4 Player Local","Square Enix, Crystal Dynamics",Square Enix,3.09,73
The Testament of Sherlock Holmes,"Action, Adventure",Singleplayer,Frogwares,"Atlus, Frogwares",3.56,73
Saints Row IV: Re-Elected,"Action, Shooter",,"Deep Silver, Volition","Deep Silver, Koch Media",3.73,73
The Book of Unwritten Tales: The Critter Chronicles,"Adventure, Indie",Singleplayer,KING Art,"THQ Nordic, Nordic Games",3.12,73
Fist Puncher,"Action, Fighting, Indie","Singleplayer, 4 Player Local",Team2Bit,"Adult Swim Games, Team2Bit",2.33,73
Guitar Hero: Warriors of Rock,Arcade,,"Vicarious Visions, Neversoft Entertainment",Activision Blizzard,4.08,73
ArmA II: Operation Arrowhead,"Action, Strategy, Simulation","Singleplayer, Multiplayer",Bohemia Interactive,Bohemia Interactive,3.27,73
Shadow Warrior (2013),"Action, Shooter","Singleplayer, Multiplayer","Devolver Digital, Flying Wild Hog","Devolver Digital, GHI Media",3.64,73
A Story About My Uncle,"Adventure, Arcade, Casual, Indie, Platformer",Singleplayer,Gone North Games,Coffee Stain Studios,3.15,73
Atelier Ayesha Plus: The Alchemist of Dusk,RPG,,Gust,Koei Tecmo Games,0.0,73
Strike Vector,"Action, Indie","Singleplayer, Multiplayer",Ragequit,Ragequit,2.85,73
Paper Sorcerer,"Adventure, RPG, Indie",Singleplayer,"Ultra Runaway Games, Jesse Gallagher",Ultra Runaway Games,3.21,73
Fieldrunners 2,"Action, Strategy, Casual",Singleplayer,SUBATOMIC STUDIOS,Subatomic Studios,3.42,73
MacGuffin's Curse,"Adventure, Casual, Indie, Puzzle",Singleplayer,"Brawsome, Ayopa Games","Brawsome, Ayopa Games",3.17,73
The Sims 3: Seasons,Strategy,,The Sims Studio,Electronic Arts,4.29,73
Sky Fighter,"Action, Arcade",,TikGames-Creat Studios,,2.3,73
Letter Quest: Grimm's Journey,"Casual, Indie, Puzzle",Singleplayer,"Bacon Bandit Games, 6864954 MANITOBA","Digerati Distribution, 6864954 MANITOBA",2.96,73
MDK2 HD,"Action, Shooter, Adventure, Arcade",Singleplayer,Overhaul Games,Interplay Productions,3.8,73
LEGO Pirates of the Caribbean: The Video Game,"Action, Adventure","Singleplayer, Multiplayer","Traveller's Tales, TT Fusion, Disney Interactive Studios",Disney Interactive,3.93,73
Assassin's Creed IV: Black Flag - Freedom Cry,Action,,Ubisoft Montreal,Ubisoft Entertainment,3.54,73
Battlefield 3: Close Quarters,"Action, Shooter",,Electronic Arts DICE,Electronic Arts,3.73,73
